Store,Dept,Date,Weekly_Pred,Wk
1.0,1.0,2012-03-02,21786.483120918274,9
1.0,1.0,2012-03-09,21813.801586151123,10
1.0,1.0,2012-03-16,22088.858847618103,11
1.0,1.0,2012-03-23,22736.725229263306,12
1.0,1.0,2012-03-30,39752.166184425354,13
1.0,1.0,2012-04-06,34863.076395988464,14
1.0,1.0,2012-04-13,23303.69270324707,15
1.0,1.0,2012-04-20,35703.25126743317,16
1.0,1.0,2012-04-27,30672.772196769714,17
1.0,2.0,2012-03-02,52784.91829538345,9
1.0,2.0,2012-03-09,47711.89753961563,10
1.0,2.0,2012-03-16,47749.414118766785,11
1.0,2.0,2012-03-23,45971.708796978,12
1.0,2.0,2012-03-30,48495.512026786804,13
1.0,2.0,2012-04-06,48210.95003271103,14
1.0,2.0,2012-04-13,48192.78331422806,15
1.0,2.0,2012-04-20,47918.79930114746,16
1.0,2.0,2012-04-27,46998.23590993881,17
1.0,3.0,2012-03-02,10744.962994882837,9
1.0,3.0,2012-03-09,10298.44407648407,10
1.0,3.0,2012-03-16,9299.716536577791,11
1.0,3.0,2012-03-23,9724.121417185292,12
1.0,3.0,2012-03-30,9894.835493685678,13
1.0,3.0,2012-04-06,10021.122166668996,14
1.0,3.0,2012-04-13,10098.414808489382,15
1.0,3.0,2012-04-20,10606.550279820338,16
1.0,3.0,2012-04-27,9632.947751712054,17
1.0,4.0,2012-03-02,38638.29039096832,9
1.0,4.0,2012-03-09,35076.37309551239,10
1.0,4.0,2012-03-16,35465.396409511566,11
1.0,4.0,2012-03-23,33785.522340774536,12
1.0,4.0,2012-03-30,36872.14319610596,13
1.0,4.0,2012-04-06,36499.70193004608,14
1.0,4.0,2012-04-13,34768.01964569092,15
1.0,4.0,2012-04-20,35706.131081581116,16
1.0,4.0,2012-04-27,35068.718389987946,17
1.0,5.0,2012-03-02,31320.53857421875,9
1.0,5.0,2012-03-09,28746.19181728363,10
1.0,5.0,2012-03-16,26623.23267364502,11
1.0,5.0,2012-03-23,32506.304578781128,12
1.0,5.0,2012-03-30,29971.537272930145,13
1.0,5.0,2012-04-06,25319.75815486908,14
1.0,5.0,2012-04-13,21914.61471271515,15
1.0,5.0,2012-04-20,26616.465090751648,16
1.0,5.0,2012-04-27,22502.17337703705,17
1.0,6.0,2012-03-02,3874.968653678894,9
1.0,6.0,2012-03-09,3339.0606100559235,10
1.0,6.0,2012-03-16,3404.2292382717133,11
1.0,6.0,2012-03-23,3930.44118976593,12
1.0,6.0,2012-03-30,3162.6654168367386,13
1.0,6.0,2012-04-06,3309.2375667095184,14
1.0,6.0,2012-04-13,3679.2863693237305,15
1.0,6.0,2012-04-20,3654.243784070015,16
1.0,6.0,2012-04-27,3161.7616423368454,17
1.0,7.0,2012-03-02,16964.84858560562,9
1.0,7.0,2012-03-09,16594.297896385193,10
1.0,7.0,2012-03-16,21810.849787712097,11
1.0,7.0,2012-03-23,14793.473986625671,12
1.0,7.0,2012-03-30,17675.2415933609,13
1.0,7.0,2012-04-06,17053.354687690735,14
1.0,7.0,2012-04-13,15274.747606277466,15
1.0,7.0,2012-04-20,15424.379710674286,16
1.0,7.0,2012-04-27,16701.85154390335,17
1.0,8.0,2012-03-02,38850.001361727715,9
1.0,8.0,2012-03-09,34941.389854848385,10
1.0,8.0,2012-03-16,34696.90251260996,11
1.0,8.0,2012-03-23,33169.31982034445,12
1.0,8.0,2012-03-30,35867.34248059988,13
1.0,8.0,2012-04-06,34241.26015764475,14
1.0,8.0,2012-04-13,33549.573291540146,15
1.0,8.0,2012-04-20,34158.84397929907,16
1.0,8.0,2012-04-27,33942.437677025795,17
1.0,9.0,2012-03-02,25831.167239189148,9
1.0,9.0,2012-03-09,26246.075185775757,10
1.0,9.0,2012-03-16,37385.55932998657,11
1.0,9.0,2012-03-23,28957.49928855896,12
1.0,9.0,2012-03-30,29824.89796257019,13
1.0,9.0,2012-04-06,28951.98972415924,14
1.0,9.0,2012-04-13,29877.595500946045,15
1.0,9.0,2012-04-20,28591.1198387146,16
1.0,9.0,2012-04-27,28798.043710708618,17
1.0,10.0,2012-03-02,36261.73034453392,9
1.0,10.0,2012-03-09,34871.88006544113,10
1.0,10.0,2012-03-16,37204.818485975266,11
1.0,10.0,2012-03-23,33995.97105884552,12
1.0,10.0,2012-03-30,35000.756073236465,13
1.0,10.0,2012-04-06,34629.427270412445,14
1.0,10.0,2012-04-13,34717.99648475647,15
1.0,10.0,2012-04-20,33198.48551821709,16
1.0,10.0,2012-04-27,32397.779229402542,17
1.0,11.0,2012-03-02,21793.690027952194,9
1.0,11.0,2012-03-09,20763.433609485626,10
1.0,11.0,2012-03-16,22311.112116098404,11
1.0,11.0,2012-03-23,23013.028604745865,12
1.0,11.0,2012-03-30,23090.509830713272,13
1.0,11.0,2012-04-06,24393.44286084175,14
1.0,11.0,2012-04-13,24332.130526781082,15
1.0,11.0,2012-04-20,22690.926421403885,16
1.0,11.0,2012-04-27,23670.54992032051,17
1.0,12.0,2012-03-02,12761.643734931946,9
1.0,12.0,2012-03-09,13231.989164590836,10
1.0,12.0,2012-03-16,15513.052524089813,11
1.0,12.0,2012-03-23,12927.110858917236,12
1.0,12.0,2012-03-30,13079.686541557312,13
1.0,12.0,2012-04-06,12615.014489412308,14
1.0,12.0,2012-04-13,13234.1517765522,15
1.0,12.0,2012-04-20,13658.684779644012,16
1.0,12.0,2012-04-27,11453.017148017883,17
1.0,13.0,2012-03-02,43660.69377565384,9
1.0,13.0,2012-03-09,38105.35944604874,10
1.0,13.0,2012-03-16,38579.482501506805,11
1.0,13.0,2012-03-23,36855.14476585388,12
1.0,13.0,2012-03-30,38615.22431278229,13
1.0,13.0,2012-04-06,37796.70434379578,14
1.0,13.0,2012-04-13,37196.69530200958,15
1.0,13.0,2012-04-20,37647.708194732666,16
1.0,13.0,2012-04-27,36799.55587863922,17
1.0,14.0,2012-03-02,17188.081465363503,9
1.0,14.0,2012-03-09,15410.474084496498,10
1.0,14.0,2012-03-16,14895.859674453735,11
1.0,14.0,2012-03-23,12978.858877182007,12
1.0,14.0,2012-03-30,14436.138358950615,13
1.0,14.0,2012-04-06,14336.5752825737,14
1.0,14.0,2012-04-13,12788.675684690475,15
1.0,14.0,2012-04-20,13016.290994524956,16
1.0,14.0,2012-04-27,13105.081535577774,17
1.0,16.0,2012-03-02,25664.91147994995,9
1.0,16.0,2012-03-09,28733.420570373535,10
1.0,16.0,2012-03-16,44614.74490070343,11
1.0,16.0,2012-03-23,38090.8732585907,12
1.0,16.0,2012-03-30,46302.7385225296,13
1.0,16.0,2012-04-06,50208.578384399414,14
1.0,16.0,2012-04-13,50098.26636695862,15
1.0,16.0,2012-04-20,50386.86884880066,16
1.0,16.0,2012-04-27,47792.406291007996,17
1.0,17.0,2012-03-02,11704.868923425674,9
1.0,17.0,2012-03-09,10364.13504576683,10
1.0,17.0,2012-03-16,9668.577949762344,11
