Store,Dept,Date,Weekly_Pred,IsHoliday
1.0,1.0,2012-09-07,19235.160922527313,True
1.0,1.0,2012-09-14,19935.618508815765,False
1.0,1.0,2012-09-21,19428.44367790222,False
1.0,1.0,2012-09-28,20413.74244260788,False
1.0,1.0,2012-10-05,23429.236816883087,False
1.0,1.0,2012-10-12,24877.46205186844,False
1.0,1.0,2012-10-19,26256.0923538208,False
1.0,1.0,2012-10-26,35229.16499996185,False
1.0,2.0,2012-09-07,45437.57170343399,True
1.0,2.0,2012-09-14,45975.37709271908,False
1.0,2.0,2012-09-21,44999.26497077942,False
1.0,2.0,2012-09-28,46489.98479402065,False
1.0,2.0,2012-10-05,48043.20882773399,False
1.0,2.0,2012-10-12,44265.7114136219,False
1.0,2.0,2012-10-19,44903.006576657295,False
1.0,2.0,2012-10-26,44185.151925206184,False
1.0,3.0,2012-09-07,11653.406342029572,True
1.0,3.0,2012-09-14,11167.516623854637,False
1.0,3.0,2012-09-21,9917.47840476036,False
1.0,3.0,2012-09-28,9605.092045783997,False
1.0,3.0,2012-10-05,10211.955656170845,False
1.0,3.0,2012-10-12,9625.524409413338,False
1.0,3.0,2012-10-19,9546.590945959091,False
1.0,3.0,2012-10-26,9203.460408687592,False
1.0,4.0,2012-09-07,37566.861716747284,True
1.0,4.0,2012-09-14,36228.48799324036,False
1.0,4.0,2012-09-21,35297.16672897339,False
1.0,4.0,2012-09-28,36136.65114021301,False
1.0,4.0,2012-10-05,39108.81460905075,False
1.0,4.0,2012-10-12,36535.00289392471,False
1.0,4.0,2012-10-19,36337.13967323303,False
1.0,4.0,2012-10-26,36505.177793979645,False
1.0,5.0,2012-09-07,17936.61241364479,True
1.0,5.0,2012-09-14,19561.222782611847,False
1.0,5.0,2012-09-21,19891.032097816467,False
1.0,5.0,2012-09-28,21622.57301902771,False
1.0,5.0,2012-10-05,25760.081025123596,False
1.0,5.0,2012-10-12,23169.152546167374,False
1.0,5.0,2012-10-19,25995.38428759575,False
1.0,5.0,2012-10-26,22809.401340007782,False
1.0,6.0,2012-09-07,3262.141963005066,True
1.0,6.0,2012-09-14,3072.5052995681763,False
1.0,6.0,2012-09-21,3521.657514810562,False
1.0,6.0,2012-09-28,2987.3814141750336,False
1.0,6.0,2012-10-05,3076.9565954208374,False
1.0,6.0,2012-10-12,3289.8896355628967,False
1.0,6.0,2012-10-19,3812.3957715034485,False
1.0,6.0,2012-10-26,3748.2952847480774,False
1.0,7.0,2012-09-07,16538.772491455078,True
1.0,7.0,2012-09-14,14785.8942527771,False
1.0,7.0,2012-09-21,14679.174954414368,False
1.0,7.0,2012-09-28,14095.04335975647,False
1.0,7.0,2012-10-05,14001.212669372559,False
1.0,7.0,2012-10-12,14863.325798034668,False
1.0,7.0,2012-10-19,19380.85569190979,False
1.0,7.0,2012-10-26,18596.133135795593,False
1.0,8.0,2012-09-07,35862.52009677887,True
1.0,8.0,2012-09-14,35949.85119628906,False
1.0,8.0,2012-09-21,35165.54770374298,False
1.0,8.0,2012-09-28,37750.65051937103,False
1.0,8.0,2012-10-05,38356.961154937744,False
1.0,8.0,2012-10-12,36230.540358543396,False
1.0,8.0,2012-10-19,36207.76266384125,False
1.0,8.0,2012-10-26,36358.77226352692,False
1.0,9.0,2012-09-07,42718.420760154724,True
1.0,9.0,2012-09-14,32902.11250495911,False
1.0,9.0,2012-09-21,33521.8217754364,False
1.0,9.0,2012-09-28,42872.37575531006,False
1.0,9.0,2012-10-05,37592.7240114212,False
1.0,9.0,2012-10-12,35226.510471343994,False
1.0,9.0,2012-10-19,30675.810836791992,False
1.0,9.0,2012-10-26,36306.46922779083,False
1.0,10.0,2012-09-07,33596.86473464966,True
1.0,10.0,2012-09-14,31605.39260351658,False
1.0,10.0,2012-09-21,29812.00919866562,False
1.0,10.0,2012-09-28,31594.58681845665,False
1.0,10.0,2012-10-05,33401.224771142006,False
1.0,10.0,2012-10-12,32321.729522705078,False
1.0,10.0,2012-10-19,31445.946836590767,False
1.0,10.0,2012-10-26,28698.599353790283,False
1.0,11.0,2012-09-07,19198.302525997162,True
1.0,11.0,2012-09-14,18959.414524555206,False
1.0,11.0,2012-09-21,17819.615367889404,False
1.0,11.0,2012-09-28,18860.947922229767,False
1.0,11.0,2012-10-05,21020.238666534424,False
1.0,11.0,2012-10-12,18028.289359807968,False
1.0,11.0,2012-10-19,19687.023656368256,False
1.0,11.0,2012-10-26,19809.13116312027,False
1.0,12.0,2012-09-07,10839.896939635277,True
1.0,12.0,2012-09-14,10127.519282698631,False
1.0,12.0,2012-09-21,9337.900618672371,False
1.0,12.0,2012-09-28,8724.296768426895,False
1.0,12.0,2012-10-05,11537.981295466423,False
1.0,12.0,2012-10-12,11705.163932085037,False
1.0,12.0,2012-10-19,11470.62522995472,False
1.0,12.0,2012-10-26,9689.938151597977,False
1.0,13.0,2012-09-07,41229.911997795105,True
1.0,13.0,2012-09-14,40273.24560832977,False
1.0,13.0,2012-09-21,39405.66406726837,False
1.0,13.0,2012-09-28,40788.4060049057,False
1.0,13.0,2012-10-05,43313.80536746979,False
1.0,13.0,2012-10-12,39907.82146835327,False
1.0,13.0,2012-10-19,39354.70382785797,False
1.0,13.0,2012-10-26,39492.33401489258,False
1.0,14.0,2012-09-07,13439.73038816452,True
1.0,14.0,2012-09-14,13039.118144750595,False
1.0,14.0,2012-09-21,13282.115490198135,False
1.0,14.0,2012-09-28,13687.876432657242,False
1.0,14.0,2012-10-05,14338.765775680542,False
1.0,14.0,2012-10-12,13869.119358062744,False
1.0,14.0,2012-10-19,13179.820277929306,False
1.0,14.0,2012-10-26,13778.713172197342,False
1.0,16.0,2012-09-07,19972.295766830444,True
1.0,16.0,2012-09-14,15972.7417678833,False
1.0,16.0,2012-09-21,14990.001598358154,False
1.0,16.0,2012-09-28,14302.864004135132,False
1.0,16.0,2012-10-05,14482.51814365387,False
1.0,16.0,2012-10-12,11770.56114578247,False
1.0,16.0,2012-10-19,10529.705916404724,False
1.0,16.0,2012-10-26,9222.109072685242,False
1.0,17.0,2012-09-07,8543.11350941658,True
1.0,17.0,2012-09-14,8045.316239595413,False
1.0,17.0,2012-09-21,7924.809284925461,False
1.0,17.0,2012-09-28,7564.981905937195,False
1.0,17.0,2012-10-05,8030.082648992538,False
1.0,17.0,2012-10-12,7305.969591617584,False
1.0,17.0,2012-10-19,7168.543556690216,False
1.0,17.0,2012-10-26,7275.7626621723175,False
1.0,18.0,2012-09-07,221.33132028579712,True
1.0,18.0,2012-09-14,1272.1425862312317,False
1.0,18.0,2012-09-21,2116.862853527069,False
1.0,18.0,2012-09-28,3363.0216269493103,False
1.0,18.0,2012-10-05,4964.180294513702,False
1.0,18.0,2012-10-12,6659.234434604645,False
1.0,18.0,2012-10-19,9243.865221977234,False
1.0,18.0,2012-10-26,20013.996886730194,False
1.0,19.0,2012-09-07,963.3287220001221,True
1.0,19.0,2012-09-14,960.8048850297928,False
1.0,19.0,2012-09-21,992.1813971996307,False
1.0,19.0,2012-09-28,999.9327918291092,False
1.0,19.0,2012-10-05,1179.3007160425186,False
1.0,19.0,2012-10-12,1135.18086206913,False
1.0,19.0,2012-10-19,1108.2612837553024,False
1.0,19.0,2012-10-26,1365.9173542261124,False
1.0,20.0,2012-09-07,3704.5751106739044,True
1.0,20.0,2012-09-14,3374.1523814201355,False
1.0,20.0,2012-09-21,3499.6635024547577,False
1.0,20.0,2012-09-28,4075.5832347869873,False
1.0,20.0,2012-10-05,3963.911232471466,False
1.0,20.0,2012-10-12,3729.916459083557,False
1.0,20.0,2012-10-19,3392.5182600021362,False
1.0,20.0,2012-10-26,3339.3169190883636,False
1.0,21.0,2012-09-07,7417.648215651512,True
1.0,21.0,2012-09-14,7555.75342169404,False
1.0,21.0,2012-09-21,7293.66216096282,False
1.0,21.0,2012-09-28,7350.570601552725,False
1.0,21.0,2012-10-05,7590.1839900016785,False
1.0,21.0,2012-10-12,7503.448690772057,False
1.0,21.0,2012-10-19,7363.775508493185,False
1.0,21.0,2012-10-26,7694.776143580675,False
1.0,22.0,2012-09-07,9136.679521560669,True
1.0,22.0,2012-09-14,7860.410940885544,False
1.0,22.0,2012-09-21,7917.695424318314,False
1.0,22.0,2012-09-28,8111.374081134796,False
1.0,22.0,2012-10-05,9068.428138494492,False
1.0,22.0,2012-10-12,8109.011925458908,False
1.0,22.0,2012-10-19,7476.756774187088,False
1.0,22.0,2012-10-26,7666.590079307556,False
1.0,23.0,2012-09-07,15831.732808113098,True
1.0,23.0,2012-09-14,15382.111382007599,False
1.0,23.0,2012-09-21,15875.156445980072,False
1.0,23.0,2012-09-28,16764.907300949097,False
1.0,23.0,2012-10-05,19090.097578048706,False
1.0,23.0,2012-10-12,16505.517973423004,False
1.0,23.0,2012-10-19,18885.100121974945,False
1.0,23.0,2012-10-26,19540.59114933014,False
1.0,24.0,2012-09-07,3998.89896941185,True
1.0,24.0,2012-09-14,3656.029528617859,False
1.0,24.0,2012-09-21,3267.7943539619446,False
1.0,24.0,2012-09-28,4364.57418513298,False
1.0,24.0,2012-10-05,4979.753609418869,False
1.0,24.0,2012-10-12,3968.2616007328033,False
1.0,24.0,2012-10-19,5190.095849990845,False
1.0,24.0,2012-10-26,5598.603160619736,False
1.0,25.0,2012-09-07,7874.93133354187,True
1.0,25.0,2012-09-14,7685.104932546616,False
1.0,25.0,2012-09-21,7783.174886703491,False
1.0,25.0,2012-09-28,7874.13582444191,False
1.0,25.0,2012-10-05,9228.217847704887,False
1.0,25.0,2012-10-12,8494.101318120956,False
1.0,25.0,2012-10-19,9009.533013820648,False
1.0,25.0,2012-10-26,9650.573797225952,False
1.0,26.0,2012-09-07,4595.656839609146,True
1.0,26.0,2012-09-14,5119.081522941589,False
1.0,26.0,2012-09-21,4530.399975061417,False
1.0,26.0,2012-09-28,6038.69367980957,False
1.0,26.0,2012-10-05,7535.603315591812,False
1.0,26.0,2012-10-12,6056.528612852097,False
1.0,26.0,2012-10-19,7122.882343292236,False
1.0,26.0,2012-10-26,6931.966736078262,False
1.0,27.0,2012-09-07,721.5105258077383,True
1.0,27.0,2012-09-14,823.2515439018607,False
1.0,27.0,2012-09-21,918.1088583618402,False
1.0,27.0,2012-09-28,974.5260633826256,False
1.0,27.0,2012-10-05,1313.9154562205076,False
1.0,27.0,2012-10-12,1153.3683713376522,False
1.0,27.0,2012-10-19,1412.9671372622252,False
1.0,27.0,2012-10-26,1489.9914085417986,False
1.0,28.0,2012-09-07,321.7239359617233,True
1.0,28.0,2012-09-14,331.6519894003868,False
1.0,28.0,2012-09-21,351.6210047006607,False
1.0,28.0,2012-09-28,482.8847963809967,False
1.0,28.0,2012-10-05,540.9540961682796,False
1.0,28.0,2012-10-12,561.8508138656616,False
1.0,28.0,2012-10-19,601.7954529225826,False
1.0,28.0,2012-10-26,708.1806223988533,False
1.0,29.0,2012-09-07,3282.7874121665955,True
1.0,29.0,2012-09-14,3382.807885289192,False
1.0,29.0,2012-09-21,3254.291462302208,False
1.0,29.0,2012-09-28,3308.4912180900574,False
1.0,29.0,2012-10-05,3922.523980498314,False
1.0,29.0,2012-10-12,3382.57821059227,False
1.0,29.0,2012-10-19,3831.807301402092,False
1.0,29.0,2012-10-26,3939.5688475370407,False
1.0,30.0,2012-09-07,2370.085541767068,True
1.0,30.0,2012-09-14,2291.699185642181,False
1.0,30.0,2012-09-21,2270.943683996331,False
1.0,30.0,2012-09-28,2386.840349746868,False
1.0,30.0,2012-10-05,2418.7288700665813,False
1.0,30.0,2012-10-12,2338.712639643112,False
1.0,30.0,2012-10-19,2298.8549425362144,False
1.0,30.0,2012-10-26,2110.2897255695425,False
1.0,31.0,2012-09-07,1717.272290110588,True
1.0,31.0,2012-09-14,1564.1769849061966,False
1.0,31.0,2012-09-21,1345.386557817459,False
1.0,31.0,2012-09-28,1141.7257578372955,False
1.0,31.0,2012-10-05,1275.4423512220383,False
1.0,31.0,2012-10-12,1102.8933898210526,False
1.0,31.0,2012-10-19,932.5175393819809,False
1.0,31.0,2012-10-26,1383.56196808815,False
1.0,32.0,2012-09-07,6057.2616710066795,True
1.0,32.0,2012-09-14,5894.596476197243,False
1.0,32.0,2012-09-21,6175.442864954472,False
1.0,32.0,2012-09-28,5721.6298688054085,False
1.0,32.0,2012-10-05,6199.640563488007,False
1.0,32.0,2012-10-12,5675.3356530070305,False
1.0,32.0,2012-10-19,5835.316791772842,False
1.0,32.0,2012-10-26,5679.383396983147,False
1.0,33.0,2012-09-07,3039.3353838920593,True
1.0,33.0,2012-09-14,3801.6643776893616,False
1.0,33.0,2012-09-21,3368.2297587394714,False
1.0,33.0,2012-09-28,3783.1879925727844,False
1.0,33.0,2012-10-05,4961.100141048431,False
1.0,33.0,2012-10-12,4115.386732578278,False
1.0,33.0,2012-10-19,5103.787543773651,False
1.0,33.0,2012-10-26,5719.394072055817,False
1.0,34.0,2012-09-07,9488.649282932281,True
1.0,34.0,2012-09-14,9375.427416801453,False
1.0,34.0,2012-09-21,9232.137984275818,False
1.0,34.0,2012-09-28,9492.649227142334,False
1.0,34.0,2012-10-05,10592.410639762878,False
1.0,34.0,2012-10-12,9922.675868988037,False
1.0,34.0,2012-10-19,10454.95821237564,False
1.0,34.0,2012-10-26,11514.501069068909,False
1.0,35.0,2012-09-07,2067.126304730773,True
1.0,35.0,2012-09-14,2163.0320287793875,False
1.0,35.0,2012-09-21,1950.215278238058,False
1.0,35.0,2012-09-28,2013.1825607866049,False
1.0,35.0,2012-10-05,2261.9715208262205,False
1.0,35.0,2012-10-12,2072.729075744748,False
1.0,35.0,2012-10-19,2326.103968426585,False
1.0,35.0,2012-10-26,2386.5598873198032,False
1.0,36.0,2012-09-07,571.2967232465744,True
1.0,36.0,2012-09-14,489.4607250392437,False
1.0,36.0,2012-09-21,477.48546528816223,False
1.0,36.0,2012-09-28,522.8671956658363,False
1.0,36.0,2012-10-05,720.8111934363842,False
1.0,36.0,2012-10-12,754.6452585756779,False
1.0,36.0,2012-10-19,854.274795293808,False
1.0,36.0,2012-10-26,1084.3944660425186,False
1.0,37.0,2012-09-07,2866.8821491003036,True
1.0,37.0,2012-09-14,2549.3563897013664,False
1.0,37.0,2012-09-21,2702.5546250343323,False
1.0,37.0,2012-09-28,2895.2370780706406,False
1.0,37.0,2012-10-05,3077.881342828274,False
1.0,37.0,2012-10-12,2805.676337122917,False
1.0,37.0,2012-10-19,2622.778701543808,False
1.0,37.0,2012-10-26,2531.9681619405746,False
1.0,38.0,2012-09-07,70821.18446350098,True
1.0,38.0,2012-09-14,71107.17115402222,False
1.0,38.0,2012-09-21,73027.94250869751,False
1.0,38.0,2012-09-28,85815.66575241089,False
1.0,38.0,2012-10-05,72873.73690795898,False
1.0,38.0,2012-10-12,66151.18952560425,False
1.0,38.0,2012-10-19,70896.7865486145,False
1.0,38.0,2012-10-26,67685.1445388794,False
1.0,40.0,2012-09-07,58842.31124687195,True
1.0,40.0,2012-09-14,58653.51903915405,False
1.0,40.0,2012-09-21,58036.69561576843,False
1.0,40.0,2012-09-28,59142.857837677,False
1.0,40.0,2012-10-05,62570.015924453735,False
1.0,40.0,2012-10-12,58374.31410121918,False
1.0,40.0,2012-10-19,59333.376567840576,False
1.0,40.0,2012-10-26,58253.70982170105,False
1.0,41.0,2012-09-07,2130.730719447136,True
1.0,41.0,2012-09-14,1986.6371906995773,False
1.0,41.0,2012-09-21,1656.3436535596848,False
1.0,41.0,2012-09-28,1569.6778216362,False
1.0,41.0,2012-10-05,1700.9374188780785,False
1.0,41.0,2012-10-12,1842.3217525482178,False
1.0,41.0,2012-10-19,1784.7653061151505,False
1.0,41.0,2012-10-26,2033.2996308207512,False
1.0,42.0,2012-09-07,7895.026549816132,True
1.0,42.0,2012-09-14,8133.60245513916,False
1.0,42.0,2012-09-21,7869.814380168915,False
1.0,42.0,2012-09-28,7874.732033252716,False
1.0,42.0,2012-10-05,8324.302707195282,False
1.0,42.0,2012-10-12,8127.086534976959,False
1.0,42.0,2012-10-19,8467.169273376465,False
1.0,42.0,2012-10-26,7857.069176435471,False
1.0,44.0,2012-09-07,5374.142470806837,True
1.0,44.0,2012-09-14,5474.336811721325,False
1.0,44.0,2012-09-21,5679.645249128342,False
1.0,44.0,2012-09-28,5978.5045376122,False
1.0,44.0,2012-10-05,6075.9401379823685,False
1.0,44.0,2012-10-12,6113.267967611551,False
1.0,44.0,2012-10-19,6210.011887550354,False
1.0,44.0,2012-10-26,6912.825393348932,False
1.0,45.0,2012-09-07,3.8012753734365106,True
1.0,45.0,2012-09-21,2.453656748868525,False
1.0,45.0,2012-09-28,2.9610899444669485,False
1.0,45.0,2012-10-12,-1.8962369179353118,False
1.0,45.0,2012-10-26,6.683947517536581,False
1.0,46.0,2012-09-07,17698.08009970188,True
1.0,46.0,2012-09-14,18050.38510107994,False
1.0,46.0,2012-09-21,17548.096752285957,False
1.0,46.0,2012-09-28,18113.810590863228,False
1.0,46.0,2012-10-05,18995.820924520493,False
1.0,46.0,2012-10-12,17307.500914812088,False
1.0,46.0,2012-10-19,17844.61721432209,False
1.0,46.0,2012-10-26,18025.2815284729,False
1.0,47.0,2012-09-28,1.1829513609409332,False
1.0,48.0,2012-09-07,1666.189081851393,True
1.0,48.0,2012-09-14,1115.2162985354662,False
1.0,48.0,2012-09-21,1368.4626448005438,False
1.0,48.0,2012-09-28,1099.883321583271,False
1.0,48.0,2012-10-05,1634.4865880273283,False
1.0,48.0,2012-10-12,1376.107269667089,False
1.0,48.0,2012-10-19,1323.9721466973424,False
1.0,48.0,2012-10-26,1416.7366424575448,False
1.0,49.0,2012-09-07,10088.231018304825,True
1.0,49.0,2012-09-14,12392.615585327148,False
1.0,49.0,2012-09-21,11367.909412741661,False
1.0,49.0,2012-09-28,10082.464721918106,False
1.0,49.0,2012-10-05,10023.187638044357,False
1.0,49.0,2012-10-12,10373.578222155571,False
1.0,49.0,2012-10-19,10193.724299550056,False
1.0,49.0,2012-10-26,8911.250122070312,False
1.0,52.0,2012-09-07,2036.968447625637,True
1.0,52.0,2012-09-14,2401.663541048765,False
1.0,52.0,2012-09-21,2354.5282720029354,False
1.0,52.0,2012-09-28,2499.809032559395,False
1.0,52.0,2012-10-05,2166.148596048355,False
1.0,52.0,2012-10-12,1960.0345258116722,False
1.0,52.0,2012-10-19,1855.6490715146065,False
1.0,52.0,2012-10-26,2238.7666110396385,False
1.0,54.0,2012-09-07,-13.139236122369766,True
1.0,54.0,2012-09-14,-51.72235378623009,False
1.0,54.0,2012-09-28,-18.71807861328125,False
1.0,54.0,2012-10-05,-42.89268124103546,False
1.0,54.0,2012-10-12,-57.83667439222336,False
1.0,54.0,2012-10-19,-46.889676600694656,False
1.0,54.0,2012-10-26,-63.52042040228844,False
1.0,55.0,2012-09-07,8266.176369667053,True
